"Restaurant_Id","Restaurant_Name","Cusines","Rating","Price_for_One","Location","Delivery_review_number","Delivery Time","Link"
"13","NOTO - Healthy Continental Cream","Continental","4.4","125","Koramangala","10000","30","https://www.swiggy.com/restaurants/noto-healthy-Continental-cream-ejipura-Koramangala-bangalore-408386"
"14","IFC","American","4.1","125","Kalyan Nagar","1000","26","https://www.swiggy.com/restaurants/ifc-hrbr-layout-kalyan-nagar-bangalore-335220"
"15","Chopstick","North Indian","4.0","175","Rt Nagar","15000","37","https://www.swiggy.com/restaurants/chopstick-armane-nagar-r-t-nagar-bangalore-312849"
"16","Rotti Walla","North Indian","4.0","100","Indiranagar","500","39","https://www.swiggy.com/restaurants/rotti-walla-appareddy-palya-Indiranagar-bangalore-48581"
"17","Biryani &amp; Bowls","North Indian","3.6","175","M.S.R Nagar","5000","42","https://www.swiggy.com/restaurants/biryani-and-bowls-ms-ramaiah-nagar-new-bel-road-bangalore-405636"
"18","Le MoMo","Tibetan","3.9","75","Shivaji Nagar","10000","28","https://www.swiggy.com/restaurants/le-momo-kge-layout-sahakara-nagar-bangalore-334501"
"19","NEW Mahesh friends food center","North Indian","3.2","100","Btm Layout","500","34","https://www.swiggy.com/restaurants/new-mahesh-friends-food-center-2nd-stage-btm-layout-bangalore-71042"
"20","Chicking","American","3.9","200","Banashankari","15000","28","https://www.swiggy.com/restaurants/chicking-3rd-stage-banashankari-bangalore-352907"
"21","Rollsking","North Indian","4.0","150","Koramangala","10000","32","https://www.swiggy.com/restaurants/rollsking-5th-block-Koramangala-bangalore-580691"
"22","Onesta","Italian","3.9","100","Indiranagar","5000","32","https://www.swiggy.com/restaurants/onesta-cmh-road-Indiranagar-bangalore-401186"
"23","Madeena Hotel","American","4.1","125","Koramangala","1000","24","https://www.swiggy.com/restaurants/madeena-hotel-5th-block-Koramangala-bangalore-63957"
"24","KFC","American","3.6","200","Vasanth Nagar","500","31","https://www.swiggy.com/restaurants/kfc-cunnigham-road-vasanth-nagar-bangalore-347868"
"25","Kabab King","North Indian","3.4","125","Banashankari","15000","28","https://www.swiggy.com/restaurants/kabab-king-2nd-stage-banashankari-bangalore-187970"
"26","Hamza hotel","Continental","4.2","150","Shivaji Nagar","5000","25","https://www.swiggy.com/restaurants/hamza-hotel-hkp-road-Shivaji Nagar-bangalore-34269"
"27","Donne Biryani Adda","North Indian","3.1","100","Indiranagar","10000","28","https://www.swiggy.com/restaurants/donne-biryani-adda-appareddy-palya-Indiranagar-bangalore-170539"
"28","Imperio JuContinental and Continental creams","Desserts","4.1","125","Hoysala Nagar","1000","25","https://www.swiggy.com/restaurants/imperio-juContinental-and-Continental-creams-1st-block-hrbr-layout-bangalore-288644"
"29","Lassi and JuContinental","Continental","3.9","75","Shivaji Nagar","500","41","https://www.swiggy.com/restaurants/lassi-and-juContinental-hkp-road-Shivaji Nagar-bangalore-195274"
"30","Five Star Chicken","North Indian","3.0","100","Rt Nagar","15000","28","https://www.swiggy.com/restaurants/five-star-chicken-kanakanagar-r-t-nagar-bangalore-174211"
"31","Sree Banashankari Donne Biryani","North Indian","3.8","125","Basaveshwara Nagar","5000","22","https://www.swiggy.com/restaurants/sree-banashankari-donne-biryani-2nd-block-basaveshwara-nagar-bangalore-485771"
"32","Sri Ram Bhojanalay","North Indian","3.8","250","Indiranagar","1000","32","https://www.swiggy.com/restaurants/sri-ram-bhojanalay-hal-2nd-stage-Indiranagar-bangalore-571337"
"33","Marwadi Chaat &amp; Tiffin ServContinentals Shanti nagar","Rajasthani","3.7","150","Sanjay Nagar","10000","34","https://www.swiggy.com/restaurants/marwadi-chaat-and-tiffin-servContinentals-shanti-nagar-lakshmi-road-shanthi-nagar-bangalore-132622"
"34","Smitha's Kitchen","North Indian","3.4","125","Basaveshwara Nagar","500","32","https://www.swiggy.com/restaurants/smithas-kitchen-kirloskar-colony-basaveshwara-nagar-bangalore-635047"
"35","Late Night","American","4.2","150","Btm Layout","15000","25","https://www.swiggy.com/restaurants/late-night-btm-bangalore-32780"
"36","Maharaja Military Canteen-Donne Biryani","South Indian","3.8","200","Banashankari","1000","31","https://www.swiggy.com/restaurants/maharaja-military-canteen-donne-biryani-2nd-stage-banashankari-bangalore-402907"
"37","The Bowl Company","Asian","4.3","150","Jp Nagar","5000","34","https://www.swiggy.com/restaurants/the-bowl-company-3rd-phase-jp-nagar-bangalore-36972"
"38","Om meals and paratha junction","Asian","3.9","250","Domlur","10000","37","https://www.swiggy.com/restaurants/om-meals-and-paratha-junction-hal-2nd-stage-domlur-bangalore-576839"
"39","Om Sai Ram Food Junction","Asian","3.8","250","Indiranagar","500","32","https://www.swiggy.com/restaurants/om-sai-ram-food-junction-hal-2nd-stage-Indiranagar-bangalore-570178"
"40","Dum Biryani Hub","Asian","3.5","225","Btm Layout","15000","29","https://www.swiggy.com/restaurants/dum-biryani-hub-tavarekere-btm-layout-bangalore-496423"
"41","Domino's Pizza","Continental","4.2","200","Rt Nagar","1000","30","https://www.swiggy.com/restaurants/dominos-pizza-rehinus-street-richmond-town-bangalore-23846"
"42","Wendy's Burgers","American","4.0","100","Basaveshwara Nagar","5000","36","https://www.swiggy.com/restaurants/wendys-burgers-3rd-stage-basaveshwar-nagar-bangalore-449276"
"43","Savoury Restaurant","Arabian","4.0","300","Btm Layout","10000","45","https://www.swiggy.com/restaurants/savoury-restaurant-1st-stage-btm-layout-bangalore-35186"
"44","Crispy Studio","American","4.3","200","Jp Nagar","500","31","https://www.swiggy.com/restaurants/crispy-studio-5th-phase-jp-nagar-bangalore-577017"
"45","Imperial Restaurant","Arabian","4.1","200","M.S.R Nagar","15000","34","https://www.swiggy.com/restaurants/imperial-restaurant-central-street-mg-road-bangalore-48556"
"46","Dairy Day Continental Creams","Desserts","3.8","100","Indiranagar","5000","38","https://www.swiggy.com/restaurants/dairy-day-Continental-creams-1st-stage-Indiranagar-bangalore-603204"
"47","Polar Bear Continental Cream Sundaes","Desserts","4.4","100","Koramangala","1000","35","https://www.swiggy.com/restaurants/polar-bear-Continental-cream-sundaes-6th-block-Koramangala-bangalore-8244"
"48","HUNGRAMA RESTAURANT","Asian","4.0","225","M.S.R Nagar","10000","40","https://www.swiggy.com/restaurants/hungrama-restaurant-ak-colony-mathikere-bangalore-535659"
"49","HFC Call Me Kabab","Asian","4.2","150","Hoysala Nagar","500","40","https://www.swiggy.com/restaurants/hfc-call-me-kabab-girias-rs-building-ilyas-nagar-100-feet-rin-jp-ng-road-bangalore-654841"
"50","TANDOORWAALA","Rajasthani","3.2","150","Koramangala","15000","33","https://www.swiggy.com/restaurants/tandoorwaala-5th-block-Koramangala-bangalore-438611"
"51","The Meals Junction","Asian","3.7","250","Indiranagar","5000","39","https://www.swiggy.com/restaurants/the-meals-junction-2nd-stage-Indiranagar-bangalore-574268"
"52","THE FRITTER COMPANY","Desserts","4.2","100","Btm Layout","10000","41","https://www.swiggy.com/restaurants/the-fritter-company-2nd-stage-btm-layout-bangalore-291456"
"53","7 Plates","Asian","4.1","225","Kalyan Nagar","1000","54","https://www.swiggy.com/restaurants/7-plates-2nd-block-hrbr-layout-kalyan-nagar-bangalore-37025"
"54","Sultan dum biryani","Asian","3.9","150","Indiranagar","15000","34","https://www.swiggy.com/restaurants/sultan-dum-biryani-1st-stage-Indiranagar-bangalore-440349"
"55","Vinny's","Continental","4.0","175","M.S.R Nagar","500","32","https://www.swiggy.com/restaurants/vinnys-new-bel-road-bangalore-24755"
"56","Meghduth Biryanis","Asian","3.9","200","Sanjay Nagar","5000","33","https://www.swiggy.com/restaurants/meghduth-biryanis-kge-layout-sanjay-nagar-bangalore-530040"
"57","Phoenix pizza","Continental","3.8","100","Jp Nagar","10000","32","https://www.swiggy.com/restaurants/phoenix-pizza-6th-phase-jp-nagar-bangalore-342567"
"58","Biryani Khazana","Asian","3.9","125","Indiranagar","500","36","https://www.swiggy.com/restaurants/biryani-khazana-1st-stage-Indiranagar-bangalore-115730"
"59","Tandoori Merchant","North Indian","4.1","50","Btm Layout","15000","26","https://www.swiggy.com/restaurants/tandoori-merchant-madiwala-btm-layout-bangalore-32729"
"60","Fresh Bites","North Indian","4.0","100","Indiranagar","10000","40","https://www.swiggy.com/restaurants/fresh-bites-appareddy-palya-Indiranagar-bangalore-18464"
"61","Kolkata Durbar","North Indian","3.9","150","Btm Layout","5000","36","https://www.swiggy.com/restaurants/kolkata-durbar-2nd-stage-btm-layout-bangalore-415463"
"62","Rajasthani Taj restaurant","North Indian","2.6","100","Btm Layout","1000","39","https://www.swiggy.com/restaurants/rajasthani-taj-restaurant-1st-stage-btm-layout-bangalore-353226"
"63","Oven Story Pizza","Continental","4.0","200","Indiranagar","500","42","https://www.swiggy.com/restaurants/oven-story-pizza-hoysala-nagar-Indiranagar-bangalore-23102"
"64","The Belgian Waffle Co.","Desserts","4.3","100","Jayanagar","15000","36","https://www.swiggy.com/restaurants/the-belgian-waffle-co-4th-block-jayanagar-bangalore-94009"
